title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
You Got the Love,Maxine Nightingale,0.704,0.327,0.0,-13.22,1.0,0.231,0.174,1.85e-06,0.413,0.74,100.559,audio_features,3TXo1rSwF2GDAoTi6p6MrW,spotify:track:3TXo1rSwF2GDAoTi6p6MrW,https://api.spotify.com/v1/tracks/3TXo1rSwF2GDAoTi6p6MrW,https://api.spotify.com/v1/audio-analysis/3TXo1rSwF2GDAoTi6p6MrW,281000.0,4.0
Love Hit Me,Maxine Nightingale,0.593,0.669,0.0,-10.121,0.0,0.0914,0.218,0.0,0.291,0.937,154.605,audio_features,57nHoAn5YRKdbgCRCuc0rL,spotify:track:57nHoAn5YRKdbgCRCuc0rL,https://api.spotify.com/v1/tracks/57nHoAn5YRKdbgCRCuc0rL,https://api.spotify.com/v1/audio-analysis/57nHoAn5YRKdbgCRCuc0rL,167440.0,4.0
Right Back Where We Started From - Rerecorded,Maxine Nightingale,0.696,0.608,5.0,-8.052,1.0,0.0365,0.0184,0.0,0.298,0.868,146.083,audio_features,6FW9ToV3he77NJc7dSthVw,spotify:track:6FW9ToV3he77NJc7dSthVw,https://api.spotify.com/v1/tracks/6FW9ToV3he77NJc7dSthVw,https://api.spotify.com/v1/audio-analysis/6FW9ToV3he77NJc7dSthVw,189520.0,4.0
Gotta Be the One,Maxine Nightingale,0.608,0.579,8.0,-11.609,1.0,0.158,0.24,0.0,0.143,0.949,180.973,audio_features,0aord9VSv8dG5IckOo7jmI,spotify:track:0aord9VSv8dG5IckOo7jmI,https://api.spotify.com/v1/tracks/0aord9VSv8dG5IckOo7jmI,https://api.spotify.com/v1/audio-analysis/0aord9VSv8dG5IckOo7jmI,176040.0,4.0
Bless You,Maxine Nightingale,0.467,0.384,10.0,-14.344,0.0,0.0286,0.793,0.0166,0.289,0.313,78.859,audio_features,53KaT1F98W0cT36X1434gs,spotify:track:53KaT1F98W0cT36X1434gs,https://api.spotify.com/v1/tracks/53KaT1F98W0cT36X1434gs,https://api.spotify.com/v1/audio-analysis/53KaT1F98W0cT36X1434gs,274040.0,4.0
No Diggity,Blackstreet,0.867,0.646,1.0,-4.674,0.0,0.288,0.303,0.0,0.279,0.67,88.634,audio_features,6MdqqkQ8sSC0WB4i8PyRuQ,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/tracks/6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/audio-analysis/6MdqqkQ8sSC0WB4i8PyRuQ,304600.0,4.0
Don't Leave Me,Blackstreet,0.789,0.541,2.0,-5.069,0.0,0.0341,0.0497,0.0,0.0908,0.7,81.826,audio_features,4Lw1ePUkkLEG9kIVhpslO0,spotify:track:4Lw1ePUkkLEG9kIVhpslO0,https://api.spotify.com/v1/tracks/4Lw1ePUkkLEG9kIVhpslO0,https://api.spotify.com/v1/audio-analysis/4Lw1ePUkkLEG9kIVhpslO0,311640.0,4.0
Black & Street Intro,Blackstreet,0.519,0.464,4.0,-14.412,0.0,0.128,0.184,0.000176,0.486,0.591,91.845,audio_features,70CUNbJ3qoKPAySD5qGnx8,spotify:track:70CUNbJ3qoKPAySD5qGnx8,https://api.spotify.com/v1/tracks/70CUNbJ3qoKPAySD5qGnx8,https://api.spotify.com/v1/audio-analysis/70CUNbJ3qoKPAySD5qGnx8,74507.0,4.0
Get Me Home,Foxy Brown,0.774,0.48,9.0,-6.599,0.0,0.228,0.109,0.000661,0.313,0.332,96.067,audio_features,6Xo9osN1HErsEJoqwj4eDg,spotify:track:6Xo9osN1HErsEJoqwj4eDg,https://api.spotify.com/v1/tracks/6Xo9osN1HErsEJoqwj4eDg,https://api.spotify.com/v1/audio-analysis/6Xo9osN1HErsEJoqwj4eDg,229400.0,4.0
Before I Let You Go,Blackstreet,0.67,0.468,1.0,-6.725,0.0,0.0328,0.325,0.0,0.0516,0.486,140.069,audio_features,2rkVoKVEMuct8SmEIGKzBw,spotify:track:2rkVoKVEMuct8SmEIGKzBw,https://api.spotify.com/v1/tracks/2rkVoKVEMuct8SmEIGKzBw,https://api.spotify.com/v1/audio-analysis/2rkVoKVEMuct8SmEIGKzBw,299800.0,4.0
